term,status,repo,branch,commit,path,line_no,role,raw_url,context
Repo.9Dot0,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,1,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,# Repo.9Dot0
Repo.9Dot0,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,3,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,Repo.9Dot0 is the first structure-realization field generated from the structure principle formed in Repo.SeungeFlow.
is,demoted_common,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,3,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,Repo.9Dot0 is the first structure-realization field generated from the structure principle formed in Repo.SeungeFlow.
the,demoted_common,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,3,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,Repo.9Dot0 is the first structure-realization field generated from the structure principle formed in Repo.SeungeFlow.
first,demoted_common,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,3,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,Repo.9Dot0 is the first structure-realization field generated from the structure principle formed in Repo.SeungeFlow.
structure-realization,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,3,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,Repo.9Dot0 is the first structure-realization field generated from the structure principle formed in Repo.SeungeFlow.
field,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,3,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,Repo.9Dot0 is the first structure-realization field generated from the structure principle formed in Repo.SeungeFlow.
generated,filtered_candidate,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,3,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,Repo.9Dot0 is the first structure-realization field generated from the structure principle formed in Repo.SeungeFlow.
from,demoted_common,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,3,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,Repo.9Dot0 is the first structure-realization field generated from the structure principle formed in Repo.SeungeFlow.
the,demoted_common,SeungeFlow/9Dot0,main,00937b38ee3aa47030153649988ea17ce133e0a9,README.md,3,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/00937b38ee3aa47030153649988ea17ce133e0a9/README.md,Repo.9Dot0 is the first structure-realization field generated from the structure principle formed in Repo.SeungeFlow.
