term,repo,branch,commit,path,line_no,role,raw_url,context
Repo.9Dot0,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,1,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,# Repo.9Dot0
Repo.9Dot0,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,3,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,Repo.9Dot0 is the first structure-realization field generated from the structure principle formed in Repo.SeungeFlow.
first,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,3,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,Repo.9Dot0 is the first structure-realization field generated from the structure principle formed in Repo.SeungeFlow.
structure-realization,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,3,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,Repo.9Dot0 is the first structure-realization field generated from the structure principle formed in Repo.SeungeFlow.
field,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,3,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,Repo.9Dot0 is the first structure-realization field generated from the structure principle formed in Repo.SeungeFlow.
generated,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,3,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,Repo.9Dot0 is the first structure-realization field generated from the structure principle formed in Repo.SeungeFlow.
structure,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,3,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,Repo.9Dot0 is the first structure-realization field generated from the structure principle formed in Repo.SeungeFlow.
principle,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,3,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,Repo.9Dot0 is the first structure-realization field generated from the structure principle formed in Repo.SeungeFlow.
formed,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,3,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,Repo.9Dot0 is the first structure-realization field generated from the structure principle formed in Repo.SeungeFlow.
Repo.SeungeFlow.,SeungeFlow/9Dot0,main,41308271f8c45277d51d1f2af8052b7788d61d78,README.md,3,Repo.9Dot0 entry surface,https://raw.githubusercontent.com/SeungeFlow/9Dot0/41308271f8c45277d51d1f2af8052b7788d61d78/README.md,Repo.9Dot0 is the first structure-realization field generated from the structure principle formed in Repo.SeungeFlow.
